"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"16 results found for ia all ""Diaz-Mochon""";"";"";"";"";"";"";"";"";
"null";"";"";"";"";"";"";"";"";
"Query language: en / de / fr";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"1";"NUCLEOBASE CHARACTERISATION";"BRADLEY MARK [GB] 
DIAZ-MOCHON JUAN J [GB]";"NUCLEOBASE CHARACTERISATION [GB] 
BRADLEY MARK [GB] 
DIAZ-MOCHON JUAN J [GB] 
UNIV EDINBURGH";"US2011028337A1 
US8716457B2";"2007-09-19";"C07D239/02 
C07D473/00 
C07D473/28 
C07D487/04 
C07K9/00 
C40B30/04 
G01N33/50 
C07G3/00 
C12Q1/68 
C07H21/00";"C07D239/22 (KR) 
C07D239/36 (EP,KR,US) 
C07D239/47 (EP,KR,US) 
C07D239/54 (EP,KR,US) 
C07D405/12 (EP,KR,US) 
C07D473/02 (KR) 
C07D473/18 (EP,KR,US) 
C07D473/34 (EP,KR,US) 
C07D498/10 (EP,KR,US) 
Y10T436/143333 (EP,US)";"2011-02-03 
2014-05-06";"2009-03-26";"038670145";
"2";"POLYMERS FOR GROWING CELLS";"HAY DAVID C [GB] 
IREDALE JOHN P [GB] 
BRADLEY MARK [GB] 
DIAZ-MOCHON JUAN J [GB] 
PERNAGALLO SALVATORE [GB]";"HAY DAVID C [GB] 
IREDALE JOHN P [GB] 
BRADLEY MARK [GB] 
DIAZ-MOCHON JUAN J [GB] 
PERNAGALLO SALVATORE [GB]";"US2012052525A1";"2009-03-20";"C08G18/76 
C12M3/00 
C12N11/08 
C12N5/071 
C12Q1/02";"C08G18/3812 (EP,US) 
C08G18/3819 (EP,US) 
C08G18/4238 (EP,US) 
C08G18/664 (EP,US) 
C08G18/7671 (EP,US) 
C12N5/067 (EP,US) 
C12N2533/30 (EP,US)";"2012-03-01";"2010-09-23";"040639889";
"3";"SINGLE MOLECULE DETECTION AND QUANTIFICATION OF NUCLEIC ACIDS WITH SINGLE BASE SPECIFICITY";"DÍAZ-MOCHÓN JUAN J [ES] 
DUFFY DAVID C [US] 
PERNAGALLO SALVATORE [ES] 
LLYINE HUGH [GB] 
RISSIN DAVID M [US] 
LÓPEZ-LONGARELA BARBARA [ES]";"QUANTERIX CORP [US] 
DESTINA GENOMICS LTD [GB]";"US2020123592A1";"2017-05-30";"C12Q1/6806 
C12Q1/6837 
C12Q1/6886 
G01N21/64";"C12Q1/6806 (US) 
C12Q1/6832 (EP) 
C12Q1/6837 (US) 
C12Q1/6886 (US) 
G01N21/6428 (US) 
G01N2021/6439 (US) 
C12Q1/6832, C12Q2525/107, C12Q2525/119, C12Q2563/107, C12Q2563/125, C12Q2563/131, C12Q2563/143, C12Q2563/149, INV (EP)      ";"2020-04-23";"2018-12-06";"064456470";
"4";"IMPROVED PNA PROBE";"ILYINE HUGH ALEXANDER [GB] 
DIAZ-MOCHON JUAN J [ES] 
PERNAGALLO SALVATORE [ES] 
CHAVEZ MAVYS TABRAUE [ES] 
FARA MARIO ANTONIO [ES]";"DESTINA GENOMICA S L [ES]";"US11242526B2 
US2019233818A1";"2016-07-12";"C12N15/11 
C12N15/113 
C12Q1/6816 
C07H21/04 
C12Q1/68";"C07K14/003 (KR) 
C12N15/11 (KR) 
C12N15/111 (EP,US) 
C12N15/113 (EP,US) 
C12Q1/68 (EP,US) 
C12Q1/6816 (US) 
C12Q1/6869 (KR) 
C12Q1/6876 (KR) 
C12N2310/3181 (EP,KR,US) 
C12Q2525/107 (KR)";"2019-08-01 
2022-02-08";"2018-01-18";"060952822";
"5";"ISOLATION OF CELLS OF EPITHELIAL ORIGIN CIRCULATING IN PERIPHERAL BLOOD";"ROMERO PALACIOS PEDRO JOSÉ [ES] 
DÍAZ MOCHÓN JUAN JOSÉ [ES] 
LORENTE ACOSTA JOSÉ ANTONIO [ES] 
DE MIGUEL PÉREZ DIEGO [ES] 
SERRANO FERNÁNDEZ MARÍA JOSÉ [ES] 
ALCÁZAR NAVARRETE BERNARDINO [ES]";"UNIV GRANADA [ES] 
SERVICIO ANDALUZ DE SALUD [ES]";"US2020278347A1";"2017-05-24";"G01N33/49 
G01N33/543";"A47K5/1217 (EP) 
A61L2/18 (EP) 
A61L2/22 (EP) 
G01N33/491 (EP,US) 
G01N33/54326 (EP,US) 
G01N33/56966 (EP,US) 
G01N2800/122 (EP,US) 
G01N2800/50 (EP,US) 
G01N2800/52 (EP,US)";"2020-09-03";"2018-11-29";"062386631";
"6";"Purine derivatives as inhibitors of dapk-1 (Machine-translation by Google Translate, not legally binding)";"MOLINA PINEDA DE LAS INFANTAS IGNACIO [ES] 
TORRES RUSILLO SARA [ES] 
FERNANDEZ RUBIO PABLO [ES] 
PINEDA DE LAS INFANTAS Y VILLATORO MARÍA JOSÉ [ES] 
DIAZ MOCHON JUAN JOSÉ [ES] 
UNICITI BROCETA ASIER [ES]";"UNIV GRANADA [ES] 
UNIV EDINBURGH [GB]";"ES2548927A1 
ES2548927B1";"2014-03-21";"A61K31/52 
C07D473/30 
C07D473/34";"C07D473/30 (EP)";"2015-10-21 
2016-08-11";"2015-09-24";"054143791";
"7";"CRISPNA FOR GENOME EDITING";"MARTÍN MOLINA FRANCISCO [ES] 
AGUILAR GONZÁLEZ ARACELI [ES] 
MALDONADO PÉREZ NOELIA [ES] 
DÍAZ MOCHÓN JUAN JOSÉ [ES]";"UNIV GRANADA [ES] 
FUND PUBLICA ANDALUZA PROGRESO Y SALUD [ES]";"US2024076718A1";"2020-12-30";"C12N15/11 
C12N9/22 
C12Q1/6816";"C12N15/11 (US) 
C12N15/111 (EP) 
C12N9/22 (US) 
C12Q1/6816 (EP,US) 
C12N15/1138 (EP) 
C12N2310/20 (EP,US) 
C12N2310/318 (EP) 
C12N2310/3181 (EP,US) 
C12N2320/34 (EP) 
C12Q1/6816, C12Q2521/301, C12Q2525/107, INV (EP)      ";"2024-03-07";"2022-07-07";"080001421";
"8";"DUAL-GUIDE RNA COMPOSITION FOR EXECUTING A SINGLE-GUIDE RNA CRISPR-ASSOCIATED SYSTEM";"MARTIN MOLINA FRANCISCO [ES] 
AGUILAR GONZALEZ ARACELI [ES] 
DÍAZ MOCHÓN JUAN JOSÉ [ES] 
SÁNCHEZ MARTÍN ROSARIO MARÍA [ES] 
MALDONADO PEREZ NOELIA [ES]";"UNIV GRANADA [ES] 
SERVICIO ANDALUZ DE SALUD [ES]";"EP4414452A1";"2023-02-13";"C12N15/113 
C12Q1/68";"C12N15/113 (EP) 
C12N2310/20 (EP)";"2024-08-14";"2024-08-14";"085239037";
"9";"DUAL PROBES FOR FLOW CYTOMETRY AND MASS CYTOMETRY";"DELGADO GONZÁLEZ ANTONIO [ES] 
SÁNCHEZ MARTÍN ROSARIO MARÍA [ES] 
DÍAZ MOCHÓN JUAN JOSÉ [ES] 
VALERO GRIÑÁN MARÍA TERESA [ES] 
ORTE GUTIÉRREZ ÁNGEL [ES] 
GARCÍA FERNÁNDEZ EMILIO [ES]";"UNIV GRANADA [ES]";"WO2018224719A1";"2017-06-07";"C09K11/06 
G01N21/64 
G01N33/574 
G01N33/68";"C09K11/06 (EP) 
G01N21/64 (EP) 
G01N33/575 (EP) 
G01N33/68 (EP)";"2018-12-13";"2018-12-13";"064565750";
"10";"PHARMACEUTICALLY ACTIVE PROTEIN CRYSTALS GROWN IN-SITU WITHIN A HYDROGEL";"ÁLVAREZ DE CIENFUEGOS RODRÍGUEZ LUIS [ES] 
GAVIRA GALLARDO JOSÉ ANTONIO [ES] 
DÍAZ MOCHÓN JUAN JOSÉ [ES] 
CONEJERO MURIEL MARÍA TERESA [ES] 
CONTRERAS MONTOYA RAFAEL [ES]";"UNIV GRANADA [ES] 
CONSEJO SUPERIOR DE INVESTIG CIENTÍFICAS [ES]";"WO2017191323A1";"2016-05-05";"A61K38/28 
A61K38/52 
A61K47/18 
A61K47/42 
A61L27/52";"A61K38/28 (EP) 
A61K38/52 (EP) 
A61K47/183 (EP) 
A61K47/42 (EP) 
A61L27/52 (EP) 
C12Y302/01017 (EP) 
C12Y503/01005 (EP)";"2017-11-09";"2017-11-09";"058707515";
